,Customer_Age,Dependent_count,Education_Level,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Education_Level_NA,Income_Category_NA,Marital_Status,Gender
0,27.0,0.0,3.0,2.0,0.0,36.0,5.0,1.0,0.0,13439.0,2003.0,11436.0,0.936,4715.0,86.0,0.72,0.149,0.0,1.0,Married,M
1,46.0,0.0,0.0,2.0,1.0,36.0,6.0,3.0,2.0,30501.0,2030.0,28471.0,0.56,2525.0,45.0,0.5,0.067,0.0,0.0,Single,F
2,46.0,2.0,1.0,0.0,0.0,37.0,3.0,1.0,1.0,6118.0,1092.0,5026.0,0.757,4434.0,81.0,0.62,0.178,0.0,0.0,Married,M
3,57.0,2.0,3.0,0.0,0.0,45.0,6.0,2.0,2.0,1438.3,740.0,698.3,0.698,4970.0,87.0,0.933,0.514,0.0,0.0,Married,F
4,56.0,1.0,2.0,3.0,0.0,36.0,3.0,3.0,3.0,34516.0,1477.0,33039.0,1.234,2395.0,50.0,0.724,0.043,0.0,0.0,Married,M
5,38.0,3.0,2.0,2.0,1.0,32.0,4.0,2.0,2.0,30082.0,1671.0,28411.0,0.707,15240.0,126.0,0.8,0.056,0.0,0.0,Married,M
6,31.0,0.0,3.0,2.0,0.0,24.0,6.0,2.0,2.0,4232.0,2092.0,2140.0,0.604,2565.0,69.0,0.865,0.494,0.0,0.0,Married,M
7,43.0,3.0,2.0,2.0,0.0,32.0,4.0,1.0,3.0,2476.0,1944.0,532.0,0.881,4025.0,65.0,0.585,0.785,1.0,0.0,,
8,44.0,3.0,1.0,2.0,0.0,31.0,4.0,3.0,1.0,12756.0,837.0,11919.0,1.932,1413.0,14.0,1.8,0.066,0.0,0.0,Single,M
9,56.0,4.0,1.0,0.0,0.0,46.0,5.0,3.0,2.0,4271.0,1150.0,3121.0,1.064,2052.0,50.0,0.724,0.269,1.0,0.0,Single,M
10,50.0,3.0,5.0,1.0,0.0,42.0,4.0,3.0,3.0,3743.0,881.0,2862.0,0.77,4621.0,71.0,0.821,0.235,0.0,0.0,,
11,45.0,3.0,3.0,0.0,0.0,27.0,4.0,3.0,3.0,2478.0,1748.0,730.0,0.643,4353.0,80.0,0.667,0.705,0.0,1.0,Married,M
12,58.0,1.0,3.0,2.0,0.0,46.0,3.0,3.0,2.0,10021.0,1617.0,8404.0,0.578,1275.0,25.0,0.667,0.161,0.0,0.0,,
13,58.0,1.0,1.0,2.0,0.0,46.0,3.0,2.0,4.0,4188.0,1147.0,3041.0,1.042,1276.0,25.0,1.083,0.274,0.0,0.0,Married,M
14,35.0,2.0,3.0,1.0,0.0,25.0,3.0,1.0,2.0,1438.3,0.0,1438.3,0.744,4434.0,73.0,0.78,0.0,0.0,0.0,,
15,63.0,1.0,2.0,2.0,0.0,56.0,3.0,3.0,2.0,10215.0,1010.0,9205.0,0.843,1904.0,40.0,1.0,0.099,1.0,0.0,Married,M
16,30.0,0.0,3.0,0.0,0.0,36.0,5.0,3.0,3.0,1574.0,0.0,1574.0,0.582,2560.0,59.0,0.788,0.0,0.0,0.0,Single,M
17,57.0,3.0,3.0,4.0,0.0,49.0,5.0,3.0,3.0,32676.0,2134.0,30542.0,0.797,3990.0,88.0,0.76,0.065,0.0,0.0,Married,M
18,64.0,0.0,0.0,0.0,0.0,36.0,3.0,1.0,3.0,7112.0,1358.0,5754.0,0.553,4951.0,73.0,0.587,0.191,0.0,0.0,,
19,47.0,1.0,3.0,2.0,0.0,40.0,3.0,1.0,3.0,3811.0,1970.0,1841.0,0.828,3578.0,76.0,0.689,0.517,0.0,1.0,Married,F
20,36.0,4.0,1.0,1.0,0.0,30.0,3.0,3.0,1.0,1438.3,0.0,1438.3,0.71,4591.0,74.0,0.644,0.0,0.0,0.0,Divorced,M
21,44.0,3.0,3.0,0.0,1.0,26.0,1.0,3.0,1.0,10877.0,1802.0,9075.0,0.706,7974.0,90.0,0.731,0.166,0.0,0.0,,
22,34.0,3.0,0.0,2.0,0.0,24.0,3.0,1.0,4.0,8167.0,1740.0,6427.0,1.455,2141.0,51.0,0.7,0.213,0.0,0.0,Married,M
23,46.0,2.0,3.0,3.0,0.0,34.0,2.0,3.0,3.0,7077.0,0.0,7077.0,0.838,2619.0,41.0,0.519,0.0,1.0,0.0,Single,F
24,46.0,4.0,1.0,0.0,0.0,39.0,4.0,2.0,3.0,7128.0,1457.0,5671.0,0.553,3534.0,70.0,0.591,0.204,1.0,0.0,,
25,46.0,2.0,3.0,0.0,0.0,40.0,5.0,2.0,2.0,6568.0,0.0,6568.0,0.101,1507.0,33.0,0.222,0.0,0.0,0.0,,
26,35.0,1.0,0.0,4.0,1.0,27.0,4.0,3.0,2.0,34516.0,0.0,34516.0,0.682,2562.0,62.0,0.722,0.0,0.0,1.0,Married,M
27,64.0,0.0,3.0,0.0,0.0,53.0,3.0,3.0,4.0,2084.0,1647.0,437.0,0.664,1597.0,37.0,0.542,0.79,0.0,0.0,Married,M
28,36.0,3.0,3.0,0.0,0.0,31.0,3.0,2.0,3.0,2937.0,2159.0,778.0,0.67,2511.0,51.0,0.7,0.735,0.0,0.0,,
29,49.0,1.0,1.0,2.0,2.0,36.0,2.0,2.0,3.0,6224.0,2201.0,4023.0,0.832,7693.0,70.0,0.628,0.354,0.0,0.0,Married,M
30,42.0,3.0,0.0,4.0,0.0,28.0,2.0,3.0,1.0,19192.0,1507.0,17685.0,0.594,15615.0,125.0,0.736,0.079,0.0,0.0,Married,M
31,43.0,2.0,3.0,0.0,0.0,32.0,2.0,3.0,1.0,2890.0,1392.0,1498.0,0.736,4233.0,77.0,0.791,0.482,0.0,0.0,Married,M
32,44.0,5.0,3.0,0.0,0.0,39.0,6.0,3.0,2.0,1545.0,0.0,1545.0,0.749,2646.0,39.0,0.444,0.0,0.0,0.0,,
33,37.0,4.0,3.0,0.0,0.0,28.0,4.0,3.0,1.0,1825.0,1389.0,436.0,1.595,2878.0,54.0,0.636,0.761,0.0,0.0,Married,F
34,39.0,2.0,0.0,0.0,1.0,34.0,3.0,3.0,3.0,14386.0,2517.0,11869.0,0.735,13377.0,114.0,0.869,0.175,0.0,0.0,Married,M
35,45.0,2.0,4.0,0.0,0.0,37.0,3.0,3.0,1.0,3036.0,2517.0,519.0,0.882,2609.0,42.0,0.615,0.829,0.0,0.0,Single,F
36,55.0,3.0,3.0,3.0,0.0,36.0,3.0,2.0,3.0,25878.0,1733.0,24145.0,0.438,1777.0,54.0,0.862,0.067,0.0,0.0,Married,F
37,58.0,0.0,1.0,3.0,0.0,36.0,6.0,3.0,2.0,2994.0,2351.0,643.0,0.469,1540.0,32.0,0.185,0.785,0.0,0.0,Married,F
