,Customer_Age,Dependent_count,Education_Level,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Education_Level_NA,Income_Category_NA,Gender_M,MS_Married,MS_Single,ln_Total_Trans_Amt,ln_Credit_Limit,ln_Avg_Transaction,Credit_utilization
0,27.0,0.0,3.0,2.0,0.0,36.0,5.0,1.0,0.0,13439.0,2003.0,11436.0,0.936,4715.0,86.0,0.72,0.149,0.0,1.0,True,True,False,8.458504195067558,9.505916206547065,4.00415689881405,0.14904382766574895
1,46.0,0.0,0.0,2.0,1.0,36.0,6.0,3.0,2.0,30501.0,2030.0,28471.0,0.56,2525.0,45.0,0.5,0.067,0.0,0.0,False,False,True,7.83399634170946,10.32551474894327,4.02733385193914,0.06655519491164225
2,46.0,2.0,1.0,0.0,0.0,37.0,3.0,1.0,1.0,6118.0,1092.0,5026.0,0.757,4434.0,81.0,0.62,0.178,0.0,0.0,True,True,False,8.397057390176256,8.718990524710849,4.002608235503818,0.17848970251716248
3,57.0,2.0,3.0,0.0,0.0,45.0,6.0,2.0,2.0,1438.3,740.0,698.3,0.698,4970.0,87.0,0.933,0.514,0.0,0.0,False,True,False,8.511175119090675,7.271217139609844,4.04526700043609,0.5144962803309463
4,56.0,1.0,2.0,3.0,0.0,36.0,3.0,3.0,3.0,34516.0,1477.0,33039.0,1.234,2395.0,50.0,0.724,0.043,0.0,0.0,True,True,False,7.781138509845015,10.449178263628198,3.8691155044168695,0.04279174875420095
5,38.0,3.0,2.0,2.0,1.0,32.0,4.0,2.0,2.0,30082.0,1671.0,28411.0,0.707,15240.0,126.0,0.8,0.056,0.0,0.0,True,True,False,9.631678829240638,10.31168226521516,4.795396922289159,0.05554816833987102
6,31.0,0.0,3.0,2.0,0.0,24.0,6.0,2.0,2.0,4232.0,2092.0,2140.0,0.604,2565.0,69.0,0.865,0.494,0.0,0.0,True,True,False,7.84971375760487,8.350429973538136,3.6156072530076107,0.4943289224952741
7,43.0,3.0,2.0,2.0,0.0,32.0,4.0,1.0,3.0,2476.0,1944.0,532.0,0.881,4025.0,65.0,0.585,0.785,1.0,0.0,False,False,False,8.300280189852664,7.814399633804487,4.1258929199570265,0.7851373182552503
8,44.0,3.0,1.0,2.0,0.0,31.0,4.0,3.0,1.0,12756.0,837.0,11919.0,1.932,1413.0,14.0,1.8,0.066,0.0,0.0,True,False,True,7.253470382684528,9.453757028129948,4.614413053069269,0.06561618062088428
9,56.0,4.0,1.0,0.0,0.0,46.0,5.0,3.0,2.0,4271.0,1150.0,3121.0,1.064,2052.0,50.0,0.724,0.269,1.0,0.0,True,False,True,7.62657020629066,8.359603270841466,3.714547200862514,0.26925778506204634
10,50.0,3.0,5.0,1.0,0.0,42.0,4.0,3.0,3.0,3743.0,881.0,2862.0,0.77,4621.0,71.0,0.821,0.235,0.0,0.0,False,False,False,8.438366410870266,8.22764270790443,4.175686533828951,0.23537269569863745
11,45.0,3.0,3.0,0.0,0.0,27.0,4.0,3.0,3.0,2478.0,1748.0,730.0,0.643,4353.0,80.0,0.667,0.705,0.0,1.0,True,True,False,8.378620541552298,7.815207062189088,3.9965939068784158,0.705407586763519
12,58.0,1.0,3.0,2.0,0.0,46.0,3.0,3.0,2.0,10021.0,1617.0,8404.0,0.578,1275.0,25.0,0.667,0.161,0.0,0.0,False,False,False,7.150701457592526,9.212438170058329,3.9318256327243257,0.16136114160263446
